country,Country Code,Indicator Name,Indicator Code,co2_emission
French Polynesia,PYF,CO2 emissions (kt),EN.ATM.CO2E.KT,
Qatar,QAT,CO2 emissions (kt),EN.ATM.CO2E.KT,87578.3
Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,68664
Russia,RUS,CO2 emissions (kt),EN.ATM.CO2E.KT,1618271
Rwanda,RWA,CO2 emissions (kt),EN.ATM.CO2E.KT,1382
South Asia,SAS,CO2 emissions (kt),EN.ATM.CO2E.KT,2518434.77
Saudi Arabia,SAU,CO2 emissions (kt),EN.ATM.CO2E.KT,513555.8
S. Sudan,SDN,CO2 emissions (kt),EN.ATM.CO2E.KT,20796.1
Senegal,SEN,CO2 emissions (kt),EN.ATM.CO2E.KT,10680.2
Singapore,SGP,CO2 emissions (kt),EN.ATM.CO2E.KT,43705
Solomon Islands,SLB,CO2 emissions (kt),EN.ATM.CO2E.KT,223.3
Sierra Leone,SLE,CO2 emissions (kt),EN.ATM.CO2E.KT,1048
El Salvador,SLV,CO2 emissions (kt),EN.ATM.CO2E.KT,6376.3
San Marino,SMR,CO2 emissions (kt),EN.ATM.CO2E.KT,
Somalia,SOM,CO2 emissions (kt),EN.ATM.CO2E.KT,660.4
Serbia,SRB,CO2 emissions (kt),EN.ATM.CO2E.KT,46324.3
W. Sahara,SSA,CO2 emissions (kt),EN.ATM.CO2E.KT,760269.413
South Sudan,SSD,CO2 emissions (kt),EN.ATM.CO2E.KT,1742.7
Sub-Saharan Africa,SSF,CO2 emissions (kt),EN.ATM.CO2E.KT,760868.113
Small states,SST,CO2 emissions (kt),EN.ATM.CO2E.KT,216633.197
Sao Tome and Principe,STP,CO2 emissions (kt),EN.ATM.CO2E.KT,141.1
Suriname,SUR,CO2 emissions (kt),EN.ATM.CO2E.KT,2601.32
Slovakia,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,29035.8
Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,12477.3
Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,33576.1
Eswatini,SWZ,CO2 emissions (kt),EN.ATM.CO2E.KT,1147.7
Sint Maarten (Dutch part),SXM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Seychelles,SYC,CO2 emissions (kt),EN.ATM.CO2E.KT,598.7
Syria,SYR,CO2 emissions (kt),EN.ATM.CO2E.KT,25234.6
Turks and Caicos Islands,TCA,CO2 emissions (kt),EN.ATM.CO2E.KT,
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,1568.4
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions (kt),EN.ATM.CO2E.KT,12608302.4
Europe & Central Asia (IDA & IBRD countries),TEC,CO2 emissions (kt),EN.ATM.CO2E.KT,3194229.5
Togo,TGO,CO2 emissions (kt),EN.ATM.CO2E.KT,2415.1
